strategy,month,trades,profit_abs,return_pct,profit_factor,ending_balance
E0V1E_v3_original_equity60,31/01/2025,64,657.02094083,8.212761760374999,1.20764997,8657.02094083
E0V1E_v3_original_equity60,28/02/2025,84,-315.4137172,-3.6434440826217918,0.95430859,8341.60722363
E0V1E_v3_original_equity60,31/03/2025,57,169.07252011,2.026857841388809,1.0407507,8510.67974374
E0V1E_v3_original_equity60,30/04/2025,81,788.81685721,9.268552935389343,1.10917631,9299.49660095
E0V1E_v3_original_equity60,31/05/2025,94,4550.65720085,48.93444662784351,1.9954135,13850.1538018
E0V1E_v3_original_equity60,30/06/2025,48,-2630.64667381,-18.993627879194484,0.58722015,11219.50712799
E0V1E_v3_original_equity60,31/07/2025,81,2069.79376098,18.44817011449957,1.24651085,13289.30088897
E0V1E_v3_original_equity60,31/08/2025,83,2387.25831816,17.963761510896354,1.33742428,15676.55920713
E0V1E_v3_original_equity60,30/09/2025,9,-342.8181455,-2.1868200857754534,0.86324872,15333.74106163
E0V1E_v3_original_equity60,31/10/2025,65,725.09297573,4.7287414911708545,1.09222834,16058.83403736
E0V1E_v3_original_equity60,30/11/2025,113,11811.00352283,73.54832545969617,2.31967364,27869.83756019
E0V1E_v3_original_equity60,31/12/2025,83,5797.08284063,20.800561998648686,1.48022737,33666.92040082
E0V1E_v3_original_equity60,31/01/2026,1,8.82415404,0.026210160997633382,0.0,33675.74455486
