strategy,month,trades,profit_abs,return_pct,profit_factor,ending_balance
E0V1E_v3,31/01/2025,64,827.10099825,10.338762478125,1.12504129,8827.10099825
E0V1E_v3,28/02/2025,78,557.4431924,6.315133275471924,1.0576395,9384.54419065
E0V1E_v3,31/03/2025,56,-169.2758374,-1.8037726069706481,0.97712017,9215.26835325
E0V1E_v3,30/04/2025,81,1948.15014469,21.140460266715237,1.18711619,11163.41849794
E0V1E_v3,31/05/2025,94,9349.0530863,83.74722391734389,1.84929294,20512.47158424
E0V1E_v3,30/06/2025,55,-2453.6990227,-11.961986212257372,0.81519072,18058.77256154
E0V1E_v3,31/07/2025,79,5385.31034121,29.821020907473876,1.30496347,23444.08290275
E0V1E_v3,31/08/2025,84,8473.1059669,36.14176763513365,1.37140819,31917.188869650003
E0V1E_v3,30/09/2025,9,-3055.23545671,-9.572382671881288,0.66585915,28861.95341294
E0V1E_v3,31/10/2025,65,-2268.91749533,-7.861274886240897,0.91380683,26593.035917610003
E0V1E_v3,30/11/2025,113,31381.50445186,118.00647563928214,2.10371663,57974.54036947001
E0V1E_v3,31/12/2025,85,13191.32273471,22.753647809266095,1.29804284,71165.86310418001
E0V1E_v3,31/01/2026,1,37.30537512,0.052420322740115585,0.0,71203.16847930002
