strategy,month,trades,profit_abs,return_pct,profit_factor,ending_balance
E0V1E_v3_equity60_reserve40,31/01/2025,64,423.21607232,5.290200904000001,1.10348819,8423.21607232
E0V1E_v3_equity60_reserve40,28/02/2025,78,1417.98102674,16.834199842025978,1.20894787,9841.19709906
E0V1E_v3_equity60_reserve40,31/03/2025,56,587.44136088,5.969206337063512,1.11117827,10428.63845994
E0V1E_v3_equity60_reserve40,30/04/2025,81,2987.34998842,28.645637682190657,1.40141308,13415.98844836
E0V1E_v3_equity60_reserve40,31/05/2025,94,7356.60119351,54.834582049817485,1.92845364,20772.58964187
E0V1E_v3_equity60_reserve40,30/06/2025,55,-780.82580158,-3.758923730944642,0.91938057,19991.76384029
E0V1E_v3_equity60_reserve40,31/07/2025,79,5760.11304366,28.812430407223356,1.40971457,25751.87688395
E0V1E_v3_equity60_reserve40,31/08/2025,84,6808.51900223,26.4389233954184,1.49554085,32560.395886180002
E0V1E_v3_equity60_reserve40,30/09/2025,9,-1939.9794574,-5.958095424212606,0.68581217,30620.41642878
E0V1E_v3_equity60_reserve40,31/10/2025,65,2809.09506844,9.173928365649996,1.14807797,33429.51149722
E0V1E_v3_equity60_reserve40,30/11/2025,113,25604.73671576,76.59321231149096,2.10452574,59034.248212980005
E0V1E_v3_equity60_reserve40,31/12/2025,85,12583.9878233,21.316419204493446,1.34477809,71618.23603628001
E0V1E_v3_equity60_reserve40,31/01/2026,1,23.22217123,0.032424941628325266,0.0,71641.45820751
